objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
Hamlet_1907,,,,Hamlet (1907),Georges Méliès,1907,France,MovingImage,46.2276,2.2137,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy;Georges Méliès
Hamlet_1908,,,,Hamlet (1908),Luca Comerio,1908,Italy,MovingImage,,,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy
Hamlet_1910-1,,,,Hamlet (1910),William George Barker,1910,UK,MovingImage,,,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy
Hamlet_1910-2,,,,Hamlet (1910),August Blom,1910,Denmark,MovingImage,,,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy;Alwin Neuß;Aage Hertel;Ella La Cour;Emilie Sannom;Einar Zangenberg;Oscar Langkilde
Hamlet_1910-3,,4HfkqpRcjQY,,Amleto,Mario Caserini,1910,Italy,MovingImage,,,"Wikipedia, Shakespeare Network on YouTube",Hamlet;Silent;Faithful;Drama/Tragedy;Dante Cappelli
Hamlet_1913,,V_ibU4mi7DA,,Hamlet (1913),E. Hay Plumb,1913,UK,MovingImage,,,"Wikipedia, PELICULAS MUDAS / Silent cinema on YouTube",Hamlet;Silent;Faithful;Drama/Tragedy;Johnston Forbes-Robertson;Gertrude Elliott;Walter Ringham;Adeleine Bourne;J.H. Barnes;S.A. Cookson;Alex Scott-Gatty
Hamlet_1917,,,,Hamlet (1917),Eleuterio Rodolfi,1917,Italy,MovingImage,,,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy;Ruggero Ruggeri;Helena Makowska;Mercedes Brignone;Martelli
Hamlet_1921,,,,"Hamlet (Hamlet, The Drama of Vengeance)",Svend Gade;Heinz Schall,1921,Germany,MovingImage,,,Wikipedia,Hamlet;Silent;Faithful;Drama/Tragedy;Asta Nielsen;Paul Conradi;Mathilde Brandt;Eduard von Winterstein;Heinz Stieda;Hans Junkermann;Anton De Verdier
Hamlet_1900,,EOwJmMo2ggE,,Le Duel d'Hamlet,Clément Maurice,1900,France,MovingImage,,,"Wikipedia, Films by the Year on YouTube",Hamlet;Silent;Short;Faithful;Drama/Tragedy;Sarah Bernhardt;Pierre Magnier;Suzanne Seylor
Hamlet_1935,,,,Khoon Ka Khoon,Sohrab Modi,1935,India,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Sohrab Modi;Naseem Banu;Chamiyan Bai;Ghulam Hussain;Obali Mai;Fazal Karim;Eruch Tarapore;Ghulam Mohiyuddin
Hamlet_1948,,,,Hamlet (1948),Laurence Olivier,1948,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Film Noir;Laurence Olivier;Jean Simmons;Eileen Herlie;Basil Sydney;Felix Aylmer;Norman Wooland;Terence Morgan;John Laurie;Esmond Knight;Anthony Quayle;Niall MacGinnis;Christopher Lee;Harcourt Williams;Patrick Troughton;Stanley Holloway
Hamlet_1953,,,,Hallmark Hall of Fame: Hamlet (1953),Albert McCleery,1953,USA,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Maurice Evans;Joseph Schildkraut;Ruth Chatterton;Sarah Churchill;Barry Jones
Hamlet_1961,,,,"Hamlet, Prinz von Dänemark",Franz Peter Wirth,1961,Germany,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Mystery;Maximilian Schell;Hans Caninenberg;Wanda Rotha;Dunja Movar;Franz Schafheitlin;Dieter Kirchlechner;Karl Michael Vogler;Eckart Dux;Herbert Bötticher
Hamlet_1963,,,,Hamlet at Elsinore,Philip Saville,1963,Denmark;UK,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Christopher Plummer;Robert Shaw;Michael Caine;Alec Clunes;June Tobin;Jo Maxwell-Muller;Roy Kinnear;Philip Locke;Dyson Lovell
Hamlet_1964-1,,,,Hamlet (aka Gamlet),Grigori Kozintsev;Iosif Shapiro,1964,Russia,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Historical Epic;Innokenti Smoktunovsky;Anastasiya Vertinskaya;Mikhail Nazvanov;Elza Radziņa;Yuri Tolubeyev;Stepan Oleksenko;Vladimir Erenberg;Igor Dmitriev
Hamlet_1964-2,,,,Richard Burton's Hamlet,John Gielgud,1964,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Richard Burton;Hume Cronyn;Eileen Herlie;Alfred Drake;John Cullum;William Redfield;George Rose;George Voskovec;Philip Coolidge;Linda Marsh;Christopher Culkin;John Gielgud
Hamlet_1969,,,,Hamlet (1969),Tony Richardson,1969,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Period;Nicol Williamson;Marianne Faithfull;Anthony Hopkins;Judy Parfitt;Mark Dignam;Gordon Jackson;Michael Pennington;Ben Aris;Roger Livesey
Hamlet_1970,,,,Hallmark Hall of Fame: Hamlet (1970),Peter Wood,1970,UK;USA,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Richard Chamberlain;Michael Redgrave;John Gielgud;Margaret Leighton;Richard Johnson;Ciaran Madden
Hamlet_1976,,,,Hamlet (1976),Celestino Coronado,1976,UK,MovingImage,,,Wikipedia,Hamlet;Faithful;Drama/Tragedy;Anthony Meyer;David Meyer;Helen Mirren
Hamlet_1980,,,,BBC Television Shakespeare: Hamlet,Rodney Bennett,1980,UK,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Derek Jacobi;Claire Bloom;Patrick Stewart;Lalla Ward;Eric Porter
Hamlet_1990-1,,,,Hamlet (1990),Franco Zeffirelli,1990,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Mel Gibson;Helena Bonham Carter;Glenn Close;Ian Holm;Alan Bates;Paul Scofield;Stephen Dillane;Nathaniel Parker;Trevor Peacock;Pete Postlethwaite;Michael Maloney
Hamlet_1990-2,,,,New York Shakespeare Festival: Hamlet,Kirk Browning and Kevin Kline,1990,USA,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Kevin Kline;Diane Venora;Dana Ivey
Hamlet_1992,,,,The Animated Shakespeare: Hamlet,Natalia Orlova,1992,Russia;UK,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Animated;Nicholas Farrell;John Shrapnel;Susan Fleetwood;Tilda Swinton;John Warner
Hamlet_1996-1,,,,Hamlet (1996),Kenneth Branagh,1996,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Historical Epic;Kenneth Branagh;Kate Winslet;Derek Jacobi;Julie Christie;Richard Briers;Nicholas Farrell;Michael Maloney;Rufus Sewell;Robin Williams;Gérard Depardieu;Timothy Spall;Reece Dinsdale;Jack Lemmon;Ray Fearon;Brian Blessed;Billy Crystal
Hamlet_2000-1,,,,Hamlet (2000),Campbell Scott,2000,USA,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Campbell Scott;Blair Brown;Roscoe Lee Browne;Lisa Gay Hamilton;Jamey Sheridan
Hamlet_2000-2,,,,Hamlet (2000),Michael Almereyda,2000,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Psychological Thriller;Modernized;Ethan Hawke;Kyle MacLachlan;Diane Venora;Liev Schreiber;Julia Stiles;Bill Murray;Karl Geary;Steve Zahn;Sam Shepard;Paula Malcomson;Jeffrey Wright;Casey Affleck;Tim Blake Nelson;Larry Fessenden;Robert Thurman
Hamlet_2003,,,,Hamlet (2003),Mike Mundell,2003,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;William Houston;Gareth Thomas;Christopher Timothy;Paul Curran;Iain Cuthbertson;Lucy Cockram;Jilly Bond;Richard Brimblecombe;Bryan Harrison
Hamlet_2007,,,,The Tragedy of Hamlet Prince of Denmark,Oscar Redding,2007,Australia,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Richard Pyros;Heather Bolton;Brian Lipson;Beth Buchanan;Steve Mouzakis
Hamlet_2009,,,,Hamlet (2009),Gregory Doran,2009,UK,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Modernized;David Tennant;Penny Downie;Oliver Ford Davies;Mariah Gale;Patrick Stewart;Peter de Jersey;Edward Bennett;David Ajala;Robert Curtis
Hamlet_2011,,,,Hamlet (2011),Bruce Ramsay,2011,Canada,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Psychological Thriller;Modernized;Bruce Ramsay;Lara Gilchrist;Peter Winfield;Gillian Barber;Duncan Fraser;Haig Sutherland;Stephen Lobo;Russel Roberts
Hamlet_2018-1,,,,Hamlet (2018),Robert Icke,2018,UK,MovingImage,,,Wikipedia,Hamlet;TV;Faithful;Drama/Tragedy;Andrew Scott;Jessica Brown Findlay;Juliet Stevenson;Luke Thompson;Angus Wright;Maanuv Thiara;Peter Wight;David Rintoul;Nikesh Patel
Hamlet_2025-1,,,,Hamlet (2025),Aneil Karia,2025,UK,MovingImage,,,Wikipedia,Hamlet;Feature;Faithful;Drama/Tragedy;Thriller;Modernized;Riz Ahmed;Morfydd Clark;Timothy Spall;Joe Alwyn;Art Malik;Sheeba Chaddha;Avijit Dutt
Hamlet_1919,,,,Oh'Phelia,Anson Dyer,1919,UK,MovingImage,,,Wikipedia,Hamlet;Silent;Loose/Inspired;Drama/Tragedy;Animated;
Hamlet_1942,,,,To Be or Not To Be,Ernst Lubitsch,1942,USA,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Comedy;Black Comedy;Carole Lombard;Jack Benny;Robert Stack;Felix Bressart;Lionel Atwill;Stanley Ridges;Sig Ruman
Hamlet_1960,,,,The Bad Sleep Well (悪い奴ほどよく眠る),Akira Kurosawa,1960,Japan,MovingImage,,,Wikipedia,Hamlet;Feature;Loose/Inspired;Drama/Tragedy;Mystery;Film Noir;Neo-Noir;Crime;Modernized; Business;Toshiro Mifune;Masayuki Mori;Kyōko Kagawa;Tatsuya Mihashi;Takashi Shimura;Kō Nishimura;Takeshi Katō;Kamatari Fujiwara
